DATE,LIGHTNING_FOP_COMPLETED,HUMAN_FOP_COMPLETED,FORECASTED_OR_OBSERVED
2014-10-12,N,N,O
2014-10-13,N,N,O
2014-10-14,N,N,O
2014-10-15,N,N,O
2014-10-16,N,N,O
2014-10-17,N,N,O
2014-10-18,N,N,O
2014-10-19,N,N,O
2014-10-20,N,N,O
2014-10-21,N,N,O
2014-10-22,N,N,O
2014-10-23,N,N,O
2014-10-24,N,N,O
2014-10-25,N,N,O
2014-10-26,N,N,O
2014-10-27,N,N,O
2014-10-28,N,N,O
2014-10-29,N,N,O
2014-10-30,N,N,O
2014-10-31,N,N,O
